London Rank 2013 (out of 625),Borough name,Ward Code,Ward name,2013,Life Expectancy,Childhood Obesity,Incapacity Benefit rate,Unemployment rate,Crime rate - Index,Deliberate Fires,Average Capped GCSE and Equivalent Point Score Per Pupil,Unauthorised Absence in All Schools (%),Dependent children in out-of-work families,Public Transport Accessibility,"Homes with access to open space & nature, and % greenspace",Subjective well-being average score
371,Hackney,E05000244,New River,-2.2,6.4,-14.6,-4.1,-8.3,0.2,2.9,-0.2,-6.6,3.7,9.1,-1.8,-12.6
397,Hackney,E05000243,Lordship,-2.8,0.6,-4.7,-11.1,-5.8,-4.9,-3.4,-0.2,7,2.3,-0.8,-1.1,-11.8
554,Hackney,E05000242,Leabridge,-6.9,-16.4,-8.8,-4.2,-18.5,-12.2,4.9,5.6,-6.1,-13.2,3.8,-5.5,-12.6
514,Hackney,E05000241,King's Park,-5.6,4.4,-18.3,-17.3,-24.2,-6.2,5.3,-3.8,1.9,-19.2,-6.6,24.9,-7.8
525,Hackney,E05000240,Hoxton,-5.7,-2.5,-16,-7.3,-11.8,-14.6,-1.6,-0.3,-4.4,-20,14.7,-1.3,-3.3
529,Hackney,E05000239,Haggerston,-5.9,-4.2,-19.5,-1.4,-15.6,-0.3,-8.9,-5.8,-4,-17.9,13.8,-4,-3.3
532,Hackney,E05000238,Hackney Downs,-6,-3.3,-12.6,-11.1,-18.1,-12.7,9.6,-8.9,-0.4,-13.3,12.3,-0.8,-12.6
542,Hackney,E05000237,Hackney Central,-6.3,-5.6,-14.8,-8.8,-16.9,-13.3,9.6,-10.3,-4.3,-15.7,21.2,-9.1,-7.8
597,Hackney,E05000236,De Beauvoir,-9.3,-11.3,-19.9,1.3,-11.6,-52.5,3.5,-0.4,-9.1,-15.5,7.9,-0.4,-3.3
585,Hackney,E05000235,Dalston,-8.7,-3.4,-12.1,-2,-19.1,-44.8,3.9,-4.8,-6,-17.6,15.6,-2.8,-11.8
299,Hackney,E05000234,Clissold,0,-1,0.3,-0.9,-0.6,-13.4,9.5,10.3,12.1,-1.6,-1,-2.1,-11.8
539,Hackney,E05000233,Chatham,-6.2,-3.2,-13.8,-8.4,-25.5,-13.6,6.3,-3.7,2.3,-18.7,14.1,-1.8,-7.8
282,Hackney,E05000232,Cazenove,0.4,18.2,-3.2,-1.2,-13.4,1.9,4.6,2.5,8.7,2.5,7,-9.7,-12.6
479,Hackney,E05000231,Brownswood,-4.8,-0.7,-23.2,-1.6,-2.2,-20.7,9.5,-8,-0.7,-11.9,16.8,-3.2,-11.8
561,Greenwich,E05000230,Woolwich Riverside,-7.2,-13.1,-15,-2,-15.7,-6.8,-6.1,-3.7,-17.3,-10.5,5.1,-11.4,10.2
500,Greenwich,E05000229,Woolwich Common,-5.3,-8.6,-8.9,-7.4,-24.1,-5.2,-15.9,4.8,-7.1,-6.7,1.6,4.2,10.2
480,Greenwich,E05000228,Thamesmead Moorings,-4.9,-17.4,-18.6,4.6,-12.3,-3,-13.9,4.8,-3.1,-4.6,-8.1,3.1,10.2
285,Greenwich,E05000227,Shooters Hill,0.4,7.5,-7.9,0.8,-1.8,2.3,-14,12.1,1.6,2.1,-9.6,10.8,0.8
553,Greenwich,E05000226,Plumstead,-6.8,-1.1,-16.4,0.6,-16.1,-4.9,-39,2.6,-12.4,-5.8,-1.5,2,10.2
259,Greenwich,E05000225,Peninsula,0.8,1.4,-0.7,5.6,2.6,-16.6,3,8.6,-10.2,2.3,5.4,5.2,3.4
551,Greenwich,E05000224,Middle Park and Sutcliffe,-6.7,2.7,-10,-14.6,-8.8,-6.3,-5.4,6.2,-21.7,-12.2,-10.8,-0.5,0.8
470,Greenwich,E05000223,Kidbrooke with Hornfair,-4.7,1.8,-10.4,-9,-5.2,-4.7,-7.7,10.2,-14.8,-8.5,-8.7,-2.3,3.4
312,Greenwich,E05000222,Greenwich West,-0.5,0.2,-13.6,3.1,-0.2,-11.8,0.9,5.4,-10.1,-3.7,5.9,14,3.4
570,Greenwich,E05000221,Glyndon,-7.7,-17.7,-10.4,-3.1,-14.7,-0.8,-23.7,-7.5,-19.4,-7.7,1.6,1.5,10.2
434,Greenwich,E05000220,Eltham West,-3.7,-8,-3.1,-4.1,-2.8,-2.5,1.3,4.1,-13.3,-6.9,-5.1,-4.6,0.8
290,Greenwich,E05000219,Eltham South,0.2,6.2,-12.6,2.7,0.4,-3,2.4,8.9,-3.1,-4.6,-3.1,7.7,0.8
99,Greenwich,E05000218,Eltham North,6.1,12.7,9.3,9.8,3.5,-2,9.6,16.5,11.2,9.1,-6.4,-1.3,0.8
302,Greenwich,E05000217,Coldharbour and New Eltham,0,1,-7.2,-0.5,1.1,1.3,1,5.7,7.5,1,-6.5,-5.8,0.8
472,Greenwich,E05000216,Charlton,-4.7,-12.4,-16.5,-12.8,-6.4,-1.1,-4.5,6.3,-9.9,-5.8,1.8,1.6,3.4
262,Greenwich,E05000215,Blackheath Westcombe,0.8,2.4,-8.4,0.5,5.5,-9,2.6,17,-3.7,5.9,-2.5,-3.9,3.4
504,Greenwich,E05000214,Abbey Wood,-5.4,-8.6,-20.8,-14.5,-10.7,-10.4,-8.8,5.7,-3,-10.3,-5.1,11.6,10.2
190,Enfield,E05000213,Winchmore Hill,2.7,4.7,-1.3,4.9,4,0.3,8,18.4,11.5,10,-5.9,-8.5,-13.6
621,Enfield,E05000212,Upper Edmonton,-12.8,-15.8,-18.8,-7.1,-19.7,-17.7,-11.6,-8.2,-26.7,-13.1,-2.7,-1.8,-10.8
620,Enfield,E05000211,Turkey Street,-12,-3.1,-16,-9.5,-13.1,-14,-6,-6.9,-26.9,-18.2,-9.2,0.3,-20.7
236,Enfield,E05000210,Town,1.7,13,-2.1,4.3,3.6,4.5,5.3,11.6,11.7,5.4,-8.7,-8.1,-20.7
230,Enfield,E05000209,Southgate Green,1.8,8.7,-6.4,4.4,2.4,-1.3,6.5,15.1,5.8,4.7,0.8,-5,-13.6
189,Enfield,E05000208,Southgate,2.7,6.8,5.1,5.3,2.8,0.5,8.2,15,8.5,3.4,-4.5,-5.1,-13.6
545,Enfield,E05000207,Southbury,-6.5,8.5,-8,-6.7,-8.2,-8.9,-7.3,-5.6,-12.2,-10.4,-5.1,6.5,-20.7
580,Enfield,E05000206,Ponders End,-8.4,-2.6,-21.8,-3.3,-23.5,-5.2,-5.5,-8.8,-14.3,-12.4,-3.2,10.1,-10.8
359,Enfield,E05000205,Palmers Green,-2,10.2,-9.2,1,-1,-7.8,-2,9.8,1.7,2.6,-8.9,-6.5,-13.6
604,Enfield,E05000204,Lower Edmonton,-9.9,0.4,-20.7,-7.8,-17.9,-0.7,-2.5,-8.7,-31.4,-18.4,-3.9,3.8,-10.8
534,Enfield,E05000203,Jubilee,-6,-1.7,-10,-4.7,-11.7,-4,-2.9,-6.9,-12.7,-11.9,-9.3,14.5,-10.8
205,Enfield,E05000202,Highlands,2.4,17.1,0.5,-6.5,6.3,6.3,6.2,9.2,5.6,4.2,-7.6,1,-13.6
587,Enfield,E05000201,Haselbury,-8.8,5.6,-14,-8,-16,-6,0.2,-7,-30.5,-14.3,-5.3,0.3,-10.8
149,Enfield,E05000200,Grange,4.1,18.3,11.6,10.1,5.2,-1.8,-0.9,22.6,7.2,9.8,-4.7,-7.7,-20.7
616,Enfield,E05000199,Enfield Lock,-11.2,-7.9,-17.8,-4,-16.4,-4.3,-1,-4.6,-33.7,-21.2,-8.5,6.3,-20.7
579,Enfield,E05000198,Enfield Highway,-8.4,8.6,-11.7,-4.2,-14.2,-4.4,-11.2,-2.1,-16.5,-16.9,-8.9,1.8,-20.7
625,Enfield,E05000197,Edmonton Green,-13.8,3.9,-23.6,-15.9,-42.1,-14.1,-12.7,-8.1,-29.8,-18.3,1.2,4.6,-10.8
163,Enfield,E05000196,Cockfosters,3.7,15.8,-2.4,2.5,3.6,4.8,-0.1,12.6,7,5.5,-8.3,16.8,-13.6
511,Enfield,E05000195,Chase,-5.5,-6.8,-7.8,-10.1,-3.7,0,-10.1,-2.5,-8.2,-5.5,-13,22.7,-20.7
242,Enfield,E05000194,Bush Hill Park,1.5,8.5,-8.3,4.3,3.8,-1.3,1.6,16.6,6.5,6.2,-7.4,0.8,-13.6
351,Enfield,E05000193,Bowes,-1.8,14,-2.3,1,-4.4,-2.9,8.2,0.6,-1.5,-5,0.8,-16.1,-13.6
65,Ealing,E05000192,Walpole,7.4,3.7,6.9,9.8,4.6,-4.1,11.4,17.1,18.8,8.7,0.3,-3.3,15.3
137,Ealing,E05000191,Southfield,4.5,8.7,5.7,13.1,6.2,-5.5,4.5,6.3,3.2,6.4,-5,7.3,3.3
441,Ealing,E05000190,Southall Green,-3.7,-4.7,-10.6,-8.8,-15.6,-10,-7.2,-0.8,-0.2,-3.3,-5.3,0.9,20.7
454,Ealing,E05000189,Southall Broadway,-4,-0.4,-9,-9.2,-9.1,-17.7,-12,-2.1,-0.8,-1.2,-3.8,-3.6,20.7
335,Ealing,E05000188,South Acton,-1.4,-8.3,-16.4,2.8,-6,-7.9,8.4,1.2,4.2,-8.8,5.7,5,3.3
202,Ealing,E05000187,Perivale,2.4,12,-9.4,3,0.9,-5,9.9,8.3,7.5,3.9,-10.5,8,0.5
432,Ealing,E05000186,Norwood Green,-3.6,-6.2,-6.9,-22.7,-14.7,-1.7,-6.5,-2.8,-1.2,-9.6,-10.4,18.4,20.7
424,Ealing,E05000185,Northolt West End,-3.4,-2.8,-1.9,-11.8,-11.9,-10.8,0.7,2.4,1.3,-10.4,-8.8,12.3,0.5
323,Ealing,E05000184,Northolt Mandeville,-1,7.9,-9.5,-1.3,-6.5,-2.7,-6.7,-0.9,1.9,-6.7,-4.2,16.7,0.5
170,Ealing,E05000183,North Greenford,3.5,14.4,-9.8,10.1,4.1,-1.9,-2.6,9.6,4.8,6.7,-8.5,15.3,0.5
8,Ealing,E05000182,Northfield,11,12.8,11,15.3,8,2.5,4.6,23.9,23,12.3,-2.9,6.5,15.3
193,Ealing,E05000181,Lady Margaret,2.6,-0.6,-4.3,2.4,-3.9,0.4,-3.4,9.2,8.4,-0.2,-5.3,8.3,20.7
215,Ealing,E05000180,Hobbayne,2.2,2.3,-3.7,-3.8,-1.1,-0.3,3.3,7.2,6.1,-3,-4.8,9,15.3
105,Ealing,E05000179,Hanger Hill,5.9,17.5,3.5,14.4,5.9,-0.2,8.4,15.9,3.1,8.3,-0.8,-8.6,3.3
156,Ealing,E05000178,Greenford Green,3.9,7.8,-7.6,7.8,1.8,-2.3,8.2,15.6,11.5,4.7,-8.3,6.7,0.5
410,Ealing,E05000177,Greenford Broadway,-3.1,-4,-9.4,-3.4,-6.4,-11.3,2.2,-3.4,3.2,-6.7,-2.7,4.3,0.5
258,Ealing,E05000176,Elthorne,0.9,0.3,-5.9,-2.5,-1.5,-7.6,8.2,-1.9,3.9,-1,0.3,2.6,15.3
326,Ealing,E05000175,East Acton,-1.1,5.8,-9.2,8.4,-7.3,-1.6,4.2,-6.7,-5,-10.9,1.4,3.9,3.3
211,Ealing,E05000174,Ealing Common,2.3,-1.2,-1.3,5.5,1.6,-9.4,6.5,-0.6,1.2,2.3,-1.4,8.8,15.3
115,Ealing,E05000173,Ealing Broadway,5.4,2,8.5,8,5,-14.5,8.3,16.6,8.3,9,9,-11.3,15.3
284,Ealing,E05000172,Dormers Wells,0.4,-2.1,-10.6,-7.3,-11,-1.8,6.4,-4.9,11,-4.8,-3.1,12.3,20.7
172,Ealing,E05000171,Cleveland,3.5,8.6,0.4,-0.5,-1.8,0.9,6.7,6,8.3,-2.7,-5.3,6.2,15.3
291,Ealing,E05000170,Acton Central,0.2,7,0.1,2.9,-5,-17.8,9.9,0.4,3,-4.7,-4.6,8.2,3.3
476,Croydon,E05000169,Woodside,-4.7,3.6,-8.6,2.3,-9.2,-11.5,-0.9,-0.9,-5.7,-8.6,-0.5,0.3,-17.3
541,Croydon,E05000168,West Thornton,-6.2,-0.1,-17.4,-1,-7.6,-12.9,-6.8,0.5,-8.2,-2.4,-4.6,-7.3,-6.4
433,Croydon,E05000167,Waddon,-3.7,-12.8,-3.2,-2.5,-3.8,-4,-8.5,4.2,-10.8,-6.5,-1,9.2,-4
474,Croydon,E05000166,Upper Norwood,-4.7,-2.9,-11.5,1.1,-8.2,-7,4.3,-4,-5.4,-1,-5.9,1,-17.3
558,Croydon,E05000165,Thornton Heath,-7.1,-2.9,-13.9,-2.7,-17.9,-9.6,4.5,-0.8,-9.3,-5.1,-3.6,-16.9,-6.4
549,Croydon,E05000164,South Norwood,-6.6,-2,-8.7,-2.8,-12.6,-11.9,-13.4,4.8,-5.7,-6.3,0.7,-4.6,-17.3
250,Croydon,E05000163,Shirley,1.1,14.6,0.5,9.9,1.4,2.3,5,1.5,4.1,-0.2,-12.9,-11.8,-1
54,Croydon,E05000162,Selsdon and Ballards,7.8,23.8,1.8,14.6,7,7.6,9.4,9.7,12.1,10.8,-12.8,10.8,-1
592,Croydon,E05000161,Selhurst,-9,-17.5,-11.2,-5.6,-13.5,-11.8,3.8,-7.5,-15.7,-7.6,3.4,-18.3,-6.4
56,Croydon,E05000160,Sanderstead,7.7,17,6.2,10.6,7,9.2,7.8,10.6,8.9,12.1,-15.1,4.8,13.4
160,Croydon,E05000159,Purley,3.8,9.8,1.6,2.9,2.6,-4,3.7,21.7,5.2,7.4,-6.6,-12.6,13.4
337,Croydon,E05000158,Norbury,-1.4,2.4,-14.7,9.7,-3.7,-7.3,5.9,1.3,-1.2,2.6,-4.9,-0.9,-6.4
609,Croydon,E05000157,New Addington,-10.3,-10,-15.7,-9.6,-8.3,-4.7,-15.7,-15.2,-30.2,-13.1,-7.7,8.1,-1
148,Croydon,E05000156,Kenley,4.1,2.7,7.3,11.1,3.7,4.8,6.9,3.3,0.7,7.9,-13.3,0.9,13.4
225,Croydon,E05000155,Heathfield,2.1,12.6,8.9,10.8,3.2,-8.9,2.8,0.2,-6.6,1.6,-10.9,12.6,-1
624,Croydon,E05000154,Fieldway,-13.8,-4.1,-15.2,-3.6,-15.2,-5.4,-45.7,-10.5,-24.2,-18.9,-6.1,-15.9,-1
374,Croydon,E05000153,Fairfield,-2.2,-0.9,-8.2,8.6,3.2,-17.1,-1.8,6.2,-13.2,2.3,13.6,-15.4,-4
304,Croydon,E05000152,Croham,-0.1,1.6,-1.6,4.1,1.8,-5,5.6,1.8,-3.8,5.2,-3.4,-3.2,-4
103,Croydon,E05000151,Coulsdon West,5.9,2.9,1.9,8.3,7.2,1.5,8,21,12,11.2,-9,-7.5,13.4
74,Croydon,E05000150,Coulsdon East,6.9,17.2,8.5,9.3,3.9,6.9,2.2,7.9,4.6,7.3,-13.6,15.7,13.4
603,Croydon,E05000149,Broad Green,-9.9,-3.5,-16.5,-0.6,-9.6,-23.2,-21.9,-10.5,-13.4,-5.4,6.6,-16.4,-4
459,Croydon,E05000148,Bensham Manor,-4.2,8.7,-8.1,1.3,-9.8,-9.9,4.3,-0.2,-6.9,-4.3,-3.6,-15.2,-6.4
356,Croydon,E05000147,Ashburton,-1.9,7,-12.9,4.5,-0.8,-1.7,-4,1,0.8,-0.9,-6.4,7.6,-17.3
399,Croydon,E05000146,Addiscombe,-2.9,-2.3,-0.1,1.2,0.5,-6,6.1,3.5,-8.5,-1.2,6.1,-29.9,-4
257,Camden,E05000145,West Hampstead,0.9,10.2,-0.1,-7.4,2.1,-11.3,-1.7,9.1,1.7,-8.7,16.2,1.2,-1
157,Camden,E05000144,Swiss Cottage,3.8,15.9,-6.3,3.3,6.4,-6.2,0.8,8.5,5.6,2.8,17.1,-1,-1
