London Rank 2013 (out of 625),Borough name,Ward Code,Ward name,2013,Life Expectancy,Childhood Obesity,Incapacity Benefit rate,Unemployment rate,Crime rate - Index,Deliberate Fires,Average Capped GCSE and Equivalent Point Score Per Pupil,Unauthorised Absence in All Schools (%),Dependent children in out-of-work families,Public Transport Accessibility,"Homes with access to open space & nature, and % greenspace",Subjective well-being average score
83,Bexley,E05000066,Blackfen and Lamorbey,6.6,19.4,-0.8,13.8,9.2,8.1,9.2,13.2,9.2,9.3,-12.3,-7.4,8.3
401,Bexley,E05000065,Belvedere,-2.9,6.7,-15.6,-1.2,-2.8,-3,-17,-2.8,2.3,-8.5,-7.3,6.6,7.6
171,Bexley,E05000064,Barnehurst,3.5,6.7,-8.5,11.3,5.2,3.8,2.6,6.4,9.2,4.3,-4.6,-2.6,8.6
278,Barnet,E05000063,Woodhouse,0.5,9,-1.6,-0.6,1.6,-4.3,5,19.9,9.1,4.7,-6.4,-16.9,-13.7
240,Barnet,E05000062,West Hendon,1.5,10.3,2,3.6,-0.2,-10.9,-1.1,20.1,5.4,3.3,-1.6,-0.3,-12.4
174,Barnet,E05000061,West Finchley,3.5,8.5,5.7,7.6,5.4,1.1,4.6,25.7,10.6,10.8,-1,-23.6,-13.7
358,Barnet,E05000060,Underhill,-1.9,-0.2,2.5,-8.5,-0.3,1.7,-12.1,10.4,-0.3,-2.7,-8.4,6.7,-12
51,Barnet,E05000059,Totteridge,7.9,15.5,5.6,11.7,7.9,7.7,9.9,22.1,12.6,10.3,-8.8,11.8,-12
179,Barnet,E05000058,Oakleigh,3.1,7.3,8.4,6.3,4.8,1.8,1.4,19.1,9.8,5.9,-3.7,-11.5,-12
203,Barnet,E05000057,Mill Hill,2.4,18.6,-0.1,9.7,4,-1,3,9.1,-1.7,6.9,-10.7,5.4,-14.3
104,Barnet,E05000056,High Barnet,5.9,9.3,9.1,3.1,7.2,0,5.6,23.4,16.1,11.6,-7.9,5.5,-12
251,Barnet,E05000055,Hendon,1.1,5,1.1,7.8,1.4,-2.3,5.3,13.1,3.3,9.1,-7.8,-10.8,-12.4
279,Barnet,E05000054,Hale,0.4,11.6,-6,4.2,3.5,0.7,6.2,6.2,5.1,4.4,-8.5,-7.6,-14.3
248,Barnet,E05000053,Golders Green,1.1,2.7,5,8.4,1.5,-1.6,4,9.5,3.4,9,-2.7,-13.1,-12.4
27,Barnet,E05000052,Garden Suburb,9.2,26.9,11.2,18.4,9.5,2.7,10,25.4,10.8,13.9,-7.6,2.1,-12.4
101,Barnet,E05000051,Finchley Church End,6,23.6,11.6,10.9,5.8,5.7,7.1,25.1,9.7,11.9,-6.3,-19.6,-13.7
244,Barnet,E05000050,Edgware,1.5,20.1,-2,7.7,2.7,-1.2,-8.7,15.8,3,5.5,-5.5,-5.5,-14.3
204,Barnet,E05000049,East Finchley,2.4,11.3,5.5,1.7,3.3,3.5,5.8,13.5,8.9,2.2,-8.2,-5.1,-13.7
181,Barnet,E05000048,East Barnet,3,9.4,-3.9,4.5,3.2,2.5,7.2,7.9,16,2,-7.2,6.3,-12
336,Barnet,E05000047,Coppetts,-1.4,-2.1,-0.1,1.9,1.2,-12.9,1,11.1,5.7,0.1,-6.2,-3,-13.7
366,Barnet,E05000046,Colindale,-2.1,12.8,-12,8.2,1.4,3.1,6.1,-2.6,-7.1,-2,-9.1,-9.3,-14.3
271,Barnet,E05000045,Childs Hill,0.6,0.3,-2.1,8.7,-3.1,-10.3,8,12.9,-0.5,1.4,5.4,-1.5,-12.4
521,Barnet,E05000044,Burnt Oak,-5.7,-9.8,-10.7,-3.5,-4.8,-3,-3.2,1.9,-2.4,-6,-1.4,-10.9,-14.3
169,Barnet,E05000043,Brunswick Park,3.6,11,7.5,2.9,3.8,2.8,4.6,14.6,7.9,6.4,-6.3,1.2,-13.7
449,Barking and Dagenham,E05000042,Whalebone,-3.9,10.6,-11,2.9,-4.8,-8.2,-1.3,2.5,-0.9,-2.9,-6.2,-22.3,-4.8
610,Barking and Dagenham,E05000041,Village,-10.5,-11.4,-17.4,-12,-20,-13.4,-11.8,-14.5,-10.4,-13.8,-7.8,11.6,-4.7
588,Barking and Dagenham,E05000040,Valence,-8.9,-9.7,-4.8,-19.5,-12.3,-6.1,-9.1,-3.8,-14.1,-14.7,-4,-3.5,-4.8
572,Barking and Dagenham,E05000039,Thames,-7.7,-4.3,-11.6,2.4,-10.7,-3,-28.8,-14.7,-3.9,-2.6,-11.7,-9.3,6.1
576,Barking and Dagenham,E05000038,River,-8.1,-19.8,-24.1,-8.4,-9.9,0.9,-4.6,-9.9,-4.8,-10,-5.5,4.3,-4.7
578,Barking and Dagenham,E05000037,Parsloes,-8.3,-5.1,-8.4,-19.9,-12.9,-5.1,-16.2,-1.4,-2.3,-13.2,-7.7,-2.5,-4.7
591,Barking and Dagenham,E05000036,Mayesbrook,-8.9,-4.5,-11.6,-18.4,-12.3,-9.7,-19.5,-1.5,-6.7,-12.7,-9.1,3.6,-4.7
254,Barking and Dagenham,E05000035,Longbridge,1,5.3,-7,6.1,-0.6,-2.6,-4.3,6.7,7.4,2.9,-5.1,-3.2,6.1
594,Barking and Dagenham,E05000034,Heath,-9.2,-11.2,-12.6,-18.6,-20,-3.9,-11.6,-2.2,-0.6,-17.7,-8,0.6,-4.8
544,Barking and Dagenham,E05000033,Goresbrook,-6.5,-3.4,-13.5,-12,-12.9,-10.8,-12.9,1.7,-1.6,-16,-9.4,7.1,6.1
599,Barking and Dagenham,E05000032,Gascoigne,-9.4,-12.7,-14.1,-15,-21,-14.7,-4.9,-1.1,-6.4,-11,-3.9,-14.7,6.1
575,Barking and Dagenham,E05000031,Eastbury,-7.9,4.5,-10.3,-8.9,-15.1,-7.6,-19.8,-1.4,-10.2,-12.3,-7.5,-12.1,6.1
468,Barking and Dagenham,E05000030,Eastbrook,-4.6,-8.1,-10,-1.7,-9.4,1.3,-14.4,4.6,-3.2,-7.3,-10.5,8.4,-4.7
612,Barking and Dagenham,E05000029,Chadwell Heath,-10.6,-1.2,-19.3,-12,-10.3,-6.1,-31.3,-6.5,-14.9,-12.9,-10.8,2.9,-4.8
605,Barking and Dagenham,E05000028,Becontree,-9.9,-8,-18.5,-7.4,-14.3,-13.1,1.9,-12.8,-10.8,-16.4,-6.5,-8,-4.8
607,Barking and Dagenham,E05000027,Alibon,-10.2,-9,-12.9,-20.4,-15.1,-9.2,-3.9,-10.9,-11.5,-17.2,-4.5,-2.6,-4.7
447,Barking and Dagenham,E05000026,Abbey,-3.8,4.3,-8.3,4,-11.2,-18.4,-15.3,-4.5,-7.6,-9.4,15.8,-1.3,6.1
